iter	RMSE
0	157.1621322
1	148.1482033
2	142.4791472
3	137.7327097
4	135.0256622
5	132.7710095
6	131.6486042
7	130.4855221
8	129.8043029
9	128.8718662
10	127.7193396
11	126.9033374
12	126.139651
13	125.3570813
14	124.9008355
15	124.5274627
16	124.1068273
17	123.8729727
18	123.321867
19	122.6463455
20	122.3185968
21	122.2008229
22	122.0509844
23	121.8623983
24	121.2949965
25	121.0734739
26	120.8101997
27	120.431574
28	120.1070319
29	119.8270472
30	119.6051166
31	119.2189745
32	118.9677165
33	118.715957
34	118.4255027
35	118.118431
36	117.6287817
37	117.1269272
38	116.9712225
39	116.6691585
40	116.5161899
41	116.3070776
42	115.8779634
43	115.6404136
44	115.4055417
45	115.0930562
46	114.938233
47	114.6691888
48	114.3177746
49	114.1488161
50	113.7039533
51	113.3327965
52	113.0759522
53	112.7914052
54	112.535147
55	112.3085407
56	111.8523223
57	111.7428808
58	111.5291676
59	111.279337
60	111.0499902
61	110.8893777
62	110.7182287
63	110.5665779
64	110.1474568
65	109.8780663
66	109.7654271
67	109.6651243
68	109.4255856
69	109.3365462
70	109.1158082
71	108.9576796
72	108.8515407
73	108.7240569
74	108.5305105
75	108.4226018
76	108.1776117
77	107.7895076
78	107.6659206
79	107.5520335
80	107.3862678
81	107.2677312
82	107.020439
83	106.758441
84	106.6694868
85	106.5325412
86	106.2630128
87	106.0731523
88	105.9449244
89	105.7653391
90	105.650226
91	105.3221617
92	105.1426343
93	104.9401652
94	104.7318304
95	104.6123074
96	104.4964433
97	104.2860495
98	104.0065029
99	103.8354607
