iter	Passed	Remaining
0	2	229
1	4	219
2	6	217
3	8	210
4	10	207
5	12	202
6	14	198
7	17	195
8	19	194
9	21	191
10	23	189
11	25	185
12	27	182
13	29	180
14	31	179
15	33	177
16	36	176
17	38	175
18	40	172
19	43	173
20	45	171
21	47	167
22	49	165
23	51	164
24	54	163
25	56	160
26	58	158
27	60	155
28	62	153
29	65	151
30	67	149
31	69	146
32	71	144
33	73	142
34	75	139
35	77	137
36	79	135
37	82	133
38	84	131
39	85	128
40	87	126
41	89	123
42	91	121
43	94	119
44	96	117
45	99	116
46	101	114
47	103	112
48	105	110
49	107	107
50	110	105
51	112	103
52	114	101
53	116	99
54	118	97
55	120	94
56	122	92
57	125	90
58	127	88
59	129	86
60	131	84
61	133	81
62	135	79
63	137	77
64	139	75
65	141	72
66	144	70
67	146	68
68	148	66
69	150	64
70	153	62
71	155	60
72	157	58
73	159	56
74	161	53
75	163	51
76	165	49
77	168	47
78	170	45
79	172	43
80	174	40
81	176	38
82	178	36
83	180	34
84	182	32
85	185	30
86	187	28
87	190	25
88	192	23
89	194	21
90	196	19
91	199	17
92	201	15
93	203	13
94	206	10
95	208	8
96	210	6
97	212	4
98	215	2
99	217	0
